symbol,name,final_score,price_1y,ai_score,sector,action,date
ESABINDIA.NS,Esab India,0.6547495786042903,0.13027780470627737,0.8,Industrial,BUY,2026-03-28
SUZLON.NS,Suzlon Energy,0.6320558028761285,-0.2775221292951465,0.8,Energy,BUY,2026-03-28
DOMS.NS,DOMS Industries,0.5934520059534413,-0.2439774985931069,1.0,Unknown,BUY,2026-03-28
ACE.NS,Action Const.Eq.,0.5890065739056497,-0.3745330631759801,1.0,Unknown,BUY,2026-03-28
NATCOPHARM.NS,Natco Pharma,0.5624448414747112,0.18701102945367665,1.0,Unknown,BUY,2026-03-28
BLS.NS,BLS Internat.,0.5547506369772088,-0.36466051295287516,1.0,Unknown,BUY,2026-03-28
TRITURBINE.NS,Triveni Turbine,0.5480620044889963,-0.19416915642920274,0.8,Industrial,BUY,2026-03-28
EIHOTEL.NS,EIH,0.5299746423260456,-0.2589129674730294,1.0,Unknown,BUY,2026-03-28
CDSL.NS,C D S L,0.5014325084669828,-0.029145693255533733,0.8,Exchange,BUY,2026-03-28
CONCORDBIO.NS,Concord Biotech,0.49809507987526036,-0.3921908110079798,1.0,Unknown,BUY,2026-03-28
