name,name_key
Nestle India,NESTLE INDIA
Waaree Renewab.,WAAREE RENEWAB
Billionbrains,BILLIONBRAINS
Anand Rathi Wea.,ANAND RATHI WEA
Cams Services,CAMS SERVICES
GE Vernova T&D,GE VERNOVA TD
I R C T C,I R C T C
Prudent Corp.,PRUDENT CORP
Multi Comm. Exc.,MULTI COMM EXC
Pace Digitek,PACE DIGITEK
Nippon Life Ind.,NIPPON LIFE IND
Bharat Electron,BHARAT ELECTRON
Solar Industries,SOLAR INDUSTRIES
CG Power & Ind,CG POWER IND
Garden Reach Sh.,GARDEN REACH SH
Indiamart Inter.,INDIAMART INTER
NBCC,NBCC
Apar Inds.,APAR INDS
Netweb Technol.,NETWEB TECHNOL
Corona Remedies,CORONA REMEDIES
Balu Forge,BALU FORGE
Kingfa Science,KINGFA SCIENCE
Volt.Transform.,VOLTTRANSFORM
Kirl.Pneumatic,KIRLPNEUMATIC
Tilaknagar Inds.,TILAKNAGAR INDS
Dynamic Cables,DYNAMIC CABLES
Tata Technolog.,TATA TECHNOLOG
J B Chemicals &,J B CHEMICALS
ICICI Lombard,ICICI LOMBARD
Interarch Build.,INTERARCH BUILD
Khazanchi Jewell,KHAZANCHI JEWELL
N S D L,N S D L
Mahanagar Gas,MAHANAGAR GAS
Himadri Special,HIMADRI SPECIAL
Garware Hi Tech,GARWARE HI TECH
ZF Commercial,ZF COMMERCIAL
Assoc.Alcohols,ASSOCALCOHOLS
Acutaas Chemical,ACUTAAS CHEMICAL
AGI Greenpac,AGI GREENPAC
PG Electroplast,PG ELECTROPLAST
Thomas Cook (I),THOMAS COOK (I)
Safari Inds.,SAFARI INDS
Neuland Labs.,NEULAND LABS
Bikaji Foods,BIKAJI FOODS
Aurionpro Sol.,AURIONPRO SOL
Capacit'e Infra.,CAPACIT'E INFRA
Som Distilleries,SOM DISTILLERIES
Avenue Super.,AVENUE SUPER
Sona BLW Precis.,SONA BLW PRECIS
Tega Inds.,TEGA INDS
Route Mobile,ROUTE MOBILE
Rategain Travel,RATEGAIN TRAVEL
SBI Life Insuran,SBI LIFE INSURAN
Krystal Integrat,KRYSTAL INTEGRAT
Techno Elec.Engg,TECHNO ELECENGG
Mrs Bectors,MRS BECTORS
Paramount Comm.,PARAMOUNT COMM
Radico Khaitan,RADICO KHAITAN
BLS E-Services,BLS E-SERVICES
Updater Services,UPDATER SERVICES
Latent View,LATENT VIEW
Yatharth Hospit.,YATHARTH HOSPIT
Sambhv Steel,SAMBHV STEEL
Ethos,ETHOS
Zaggle Prepaid,ZAGGLE PREPAID
Le Travenues,LE TRAVENUES
Mafatlal Inds.,MAFATLAL INDS
